,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status
418716,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
419839,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
421135,Other Non-Compensation,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
421409,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
421626,Communications,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
422669,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating
423433,School Administration,Leadership,School Reported,School,Gifted,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
424003,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
424725,Security & Safety,O&M,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
425156,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating
425575,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
425912,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
427120,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating
427148,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
428696,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
430687,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
433255,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating
434220,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
435248,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
435350,Other Compensation,Instruction,School Reported,School,Special Education,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
435487,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
436672,Governance,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
440230,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
440734,Facilities & Maintenance,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
441600,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating
442776,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
443183,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating
443535,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
443728,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
448056,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating
449417,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
432615,Professional Development,ISPD,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
445186,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
313805,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
183236,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
167269,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
263926,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating
149082,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
69443,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
105504,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating
28448,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
365526,Professional Development,ISPD,School on Central Budgets,Non-School,Special Education,Non-Position,Travel & Conferences,Non PreK,PreK-12 Operating
68117,Substitute Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Substitute Compensation,NO_LABEL,PreK-12 Operating
2960,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
52852,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
257871,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
448868,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
444833,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
49108,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
282223,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
88597,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
332893,Substitute Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Substitute Compensation,NO_LABEL,PreK-12 Operating
107610,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
414345,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
213178,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
154489,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
385013,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
222011,School Administration,Leadership,School Reported,School,Poverty,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
239240,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
364523,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
192175,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
59689,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
38243,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
427928,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
216280,Other Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
263097,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
33145,Career & Academic Counseling,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
354579,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating
246254,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
265358,Recruitment,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
444641,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
377852,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Benefits,NO_LABEL,PreK-12 Operating
28643,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating
385937,Enrichment,Pupil Services & Enrichment,School Reported,School,Special Education,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
334081,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating
364433,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
192620,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating
217959,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
439372,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
450115,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
115002,Enrichment,Pupil Services & Enrichment,School Reported,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
411602,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
123685,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
209374,Instructional Materials & Supplies,Instruction,School Reported,School,Poverty,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
412352,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
183577,Parent & Community Relations,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
160374,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
1808,Professional Development,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
369397,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
41499,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
155234,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
176991,Social & Emotional,Pupil Services & Enrichment,School Reported,School,At Risk,Other,Travel & Conferences,Non PreK,PreK-12 Operating
237735,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
303084,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
372602,Professional Development,ISPD,Shared Services,Non-School,Poverty,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
263125,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
142699,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
241960,Teacher Compensation,Instruction,School Reported,Non-School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating
86293,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
118681,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
61625,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
260175,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
155731,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating
156597,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating
387731,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating
113544,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
2108,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating
305752,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
338625,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
144152,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
373183,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating
401303,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
305314,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
126956,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
198284,Professional Development,ISPD,Leadership & Management,Non-School,Special Education,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
219669,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
313256,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
174977,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
19728,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,PreK,PreK-12 Operating
409983,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
444847,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
248053,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating
258444,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
315619,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
268688,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
169952,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
388775,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
436757,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Benefits,NO_LABEL,PreK-12 Operating
434023,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
220102,Professional Development,ISPD,School on Central Budgets,Non-School,Poverty,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating
207305,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
30100,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
199127,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
98933,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
320715,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
304410,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
123833,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
283779,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating
236448,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Poverty,Teacher,Benefits,NO_LABEL,PreK-12 Operating
14997,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
127819,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
377711,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating
442518,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
258051,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
19704,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Benefits,NO_LABEL,PreK-12 Operating
406288,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
311868,Data Processing & Information Services,Business Services,Shared Services,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
37192,Curriculum Development,ISPD,Shared Services,Non-School,ELL,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating
164463,"Finance, Budget, Purchasing & Distribution",Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating
56756,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
222333,Teacher Compensation,Instruction,School Reported,School,Alternative,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
276833,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
100866,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
74764,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
63185,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating
338963,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
73385,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
69729,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
445906,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
10593,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
379000,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
436491,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
216799,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
436874,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
207310,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating
50017,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
166986,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
120516,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
262421,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
41924,Other Compensation,Instruction,School Reported,School,ELL,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
329563,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating
305305,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
158231,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
380238,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
362879,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
78142,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
165618,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
348556,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
252154,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
118889,Security & Safety,O&M,Shared Services,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
240776,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating
375834,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
196371,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
331855,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
88286,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
230095,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
33472,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating
219038,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
189508,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
344894,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
258895,Teacher Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
4163,Student Transportation,O&M,Shared Services,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
331546,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
414566,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
344247,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
293044,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
401767,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
213322,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
88180,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
91435,Food Services,O&M,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
383391,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
347019,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
314112,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
281404,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating
129536,School Administration,Leadership,School Reported,School,Poverty,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
11536,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
235227,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
119853,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating
390598,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating
